,date,종가,FLUC_TP_CD,PRV_DD_CMPR,UPDN_RATE,OPNPRC_IDX,고가,저가,거래량,거래대금,상장시가총액,index_name
0,2023/04/13,"3,175.58",2,-1.47,-0.05,"3,163.97","3,182.56","3,152.04","34,716,632","2,355,180,277,296","597,749,834,963,200",코스피 200 정보기술
1,2023/04/12,"3,177.05",1,16.46,0.52,"3,165.47","3,187.44","3,127.84","28,648,784","2,290,340,876,140","597,689,493,379,000",코스피 200 정보기술
2,2023/04/11,"3,160.59",1,26.99,0.86,"3,146.13","3,170.89","3,124.04","30,006,964","2,536,101,327,100","596,566,776,851,750",코스피 200 정보기술
3,2023/04/10,"3,133.60",1,22.99,0.74,"3,103.31","3,159.38","3,102.53","31,223,224","2,514,936,817,365","593,196,713,931,900",코스피 200 정보기술
4,2023/04/07,"3,110.61",1,64.64,2.12,"3,089.25","3,121.44","3,079.42","46,610,346","3,559,768,670,370","587,325,099,324,800",코스피 200 정보기술
5,2023/04/06,"3,045.97",2,-78.52,-2.51,"3,099.24","3,101.08","3,039.51","27,405,594","2,238,029,432,392","567,118,235,674,350",코스피 200 정보기술
6,2023/04/05,"3,124.49",1,60.52,1.98,"3,066.38","3,133.04","3,060.26","21,448,000","1,906,046,100,500","581,428,479,059,950",코스피 200 정보기술
7,2023/04/04,"3,063.97",2,-28.56,-0.92,"3,084.58","3,090.77","3,057.00","39,823,863","3,135,968,188,362","575,254,314,901,650",코스피 200 정보기술
8,2023/04/03,"3,092.53",2,-7.67,-0.25,"3,113.91","3,113.91","3,069.02","24,822,378","1,837,743,951,882","575,467,170,238,600",코스피 200 정보기술
9,2023/03/31,"3,100.20",1,40.95,1.34,"3,075.99","3,104.80","3,073.26","35,924,263","2,709,676,191,053","581,103,385,533,350",코스피 200 정보기술
10,2023/03/30,"3,059.25",2,-2.51,-0.08,"3,096.10","3,099.64","3,059.25","27,738,600","2,013,165,714,492","574,193,120,538,700",코스피 200 정보기술
11,2023/03/29,"3,061.76",1,6.88,0.23,"3,041.74","3,066.13","3,038.02","24,966,502","1,752,578,262,800","571,321,022,156,450",코스피 200 정보기술
12,2023/03/28,"3,054.88",1,33.15,1.10,"3,019.68","3,055.80","3,008.67","31,720,203","1,793,307,259,642","572,244,378,882,150",코스피 200 정보기술
13,2023/03/27,"3,021.73",2,-17.87,-0.59,"3,049.65","3,050.46","3,002.12","21,812,232","1,678,484,013,020","564,934,649,308,100",코스피 200 정보기술
14,2023/03/24,"3,039.60",2,-6.56,-0.22,"3,041.46","3,060.55","3,018.70","34,302,043","2,493,747,011,366","571,507,391,147,700",코스피 200 정보기술
15,2023/03/23,"3,046.16",1,26.03,0.86,"2,990.40","3,046.16","2,987.79","24,192,456","1,866,723,190,310","569,119,716,650,450",코스피 200 정보기술
16,2023/03/22,"3,020.13",1,46.67,1.57,"3,000.91","3,023.02","2,980.93","16,180,021","1,269,300,348,296","560,389,693,819,550",코스피 200 정보기술
17,2023/03/21,"2,973.46",2,-6.23,-0.21,"3,001.58","3,006.89","2,960.08","14,073,088","1,091,485,464,607","551,820,811,548,100",코스피 200 정보기술
18,2023/03/20,"2,979.69",2,-40.66,-1.35,"3,006.93","3,015.63","2,974.02","15,780,298","1,183,320,888,955","551,681,087,772,950",코스피 200 정보기술
19,2023/03/17,"3,020.35",1,40.41,1.36,"3,024.25","3,031.07","2,993.47","26,374,998","2,059,214,314,811","560,339,453,750,800",코스피 200 정보기술
20,2023/03/16,"2,979.94",1,12.92,0.44,"2,933.06","2,993.62","2,925.10","20,959,845","1,563,109,540,348","548,913,561,700,800",코스피 200 정보기술
21,2023/03/15,"2,967.02",1,21.59,0.73,"2,983.33","2,989.61","2,952.10","21,611,272","1,648,027,986,696","547,559,680,418,250",코스피 200 정보기술
22,2023/03/14,"2,945.43",2,-85.12,-2.81,"2,995.28","2,999.26","2,939.81","22,107,448","1,670,511,158,766","542,431,435,706,800",코스피 200 정보기술
23,2023/03/13,"3,030.55",1,33.97,1.13,"3,012.37","3,038.12","2,973.95","21,364,114","1,598,234,291,120","554,427,205,085,650",코스피 200 정보기술
24,2023/03/10,"2,996.58",2,-29.01,-0.96,"2,984.23","3,002.06","2,970.14","23,466,926","1,711,994,086,605","549,211,464,500,100",코스피 200 정보기술
25,2023/03/09,"3,025.59",2,-38.73,-1.26,"3,078.39","3,085.55","3,022.06","25,863,047","2,011,041,183,497","554,864,298,777,500",코스피 200 정보기술
26,2023/03/08,"3,064.32",2,-45.02,-1.45,"3,073.80","3,081.95","3,059.23","32,009,043","2,372,571,628,090","559,117,933,747,950",코스피 200 정보기술
27,2023/03/07,"3,109.34",2,-12.32,-0.39,"3,107.97","3,129.49","3,091.71","18,422,934","1,660,894,715,252","565,579,336,340,100",코스피 200 정보기술
28,2023/03/06,"3,121.66",1,98.41,3.26,"3,056.67","3,123.39","3,043.78","23,397,536","2,151,788,367,590","570,820,711,763,350",코스피 200 정보기술
29,2023/03/03,"3,023.25",1,19.48,0.65,"3,016.05","3,034.20","2,992.57","18,383,980","1,432,203,963,865","557,770,068,646,350",코스피 200 정보기술
30,2023/03/02,"3,003.77",1,3.26,0.11,"2,998.19","3,025.17","2,982.68","21,130,476","1,591,196,283,380","558,067,876,339,600",코스피 200 정보기술
31,2023/02/28,"3,000.51",1,6.04,0.20,"3,014.36","3,037.33","2,988.69","24,233,424","1,748,865,882,900","557,084,975,408,450",코스피 200 정보기술
32,2023/02/27,"2,994.47",2,-28.10,-0.93,"2,991.96","2,997.34","2,971.63","16,711,208","1,194,502,309,370","555,983,297,673,500",코스피 200 정보기술
33,2023/02/24,"3,022.57",2,-29.30,-0.96,"3,057.29","3,073.17","3,021.78","18,155,104","1,343,951,252,494","562,456,131,054,900",코스피 200 정보기술
34,2023/02/23,"3,051.87",1,57.72,1.93,"3,012.82","3,068.15","3,012.82","22,641,409","1,701,549,371,070","568,638,631,154,250",코스피 200 정보기술
35,2023/02/22,"2,994.15",2,-62.68,-2.05,"3,017.85","3,019.78","2,990.65","20,421,276","1,445,244,693,420","559,059,340,009,500",코스피 200 정보기술
36,2023/02/21,"3,056.83",2,-12.34,-0.40,"3,071.46","3,077.57","3,044.80","15,883,169","1,084,811,163,846","569,259,587,614,300",코스피 200 정보기술
37,2023/02/20,"3,069.17",1,13.85,0.45,"3,048.00","3,080.19","3,014.33","22,376,356","1,558,145,663,710","573,597,051,274,250",코스피 200 정보기술
38,2023/02/17,"3,055.32",2,-54.92,-1.77,"3,060.34","3,094.82","3,052.09","17,809,194","1,335,284,336,912","572,077,116,238,350",코스피 200 정보기술
39,2023/02/16,"3,110.24",1,69.58,2.29,"3,060.65","3,114.20","3,053.75","24,263,111","1,765,587,073,230","582,246,106,429,600",코스피 200 정보기술
40,2023/02/15,"3,040.66",2,-47.03,-1.52,"3,100.95","3,101.76","3,035.22","21,484,099","1,598,216,991,198","569,235,859,223,450",코스피 200 정보기술
41,2023/02/14,"3,087.69",1,61.61,2.04,"3,061.29","3,095.34","3,061.01","17,577,001","1,370,449,780,744","578,402,693,467,000",코스피 200 정보기술
42,2023/02/13,"3,026.08",2,-48.72,-1.58,"3,048.81","3,049.48","3,002.57","18,447,150","1,458,659,895,710","571,668,219,922,150",코스피 200 정보기술
43,2023/02/10,"3,074.80",2,-14.45,-0.47,"3,069.20","3,078.81","3,046.97","16,317,920","1,295,481,687,210","575,411,261,196,200",코스피 200 정보기술
44,2023/02/09,"3,089.25",2,-2.25,-0.07,"3,067.78","3,090.59","3,052.77","20,803,672","1,617,465,137,138","577,916,729,048,150",코스피 200 정보기술
45,2023/02/08,"3,091.50",1,92.70,3.09,"3,024.04","3,097.36","3,020.53","23,268,011","1,907,763,169,692","578,674,551,805,050",코스피 200 정보기술
46,2023/02/07,"2,998.80",1,27.48,0.92,"2,972.32","3,012.93","2,961.03","21,251,779","1,533,934,814,226","564,667,102,341,300",코스피 200 정보기술
47,2023/02/06,"2,971.32",2,-67.65,-2.23,"3,013.80","3,023.04","2,971.32","22,963,042","1,708,201,315,147","560,569,696,140,050",코스피 200 정보기술
48,2023/02/03,"3,038.97",2,-1.29,-0.04,"3,037.42","3,047.12","3,010.92","22,978,370","1,694,155,389,257","577,873,141,553,800",코스피 200 정보기술
49,2023/02/02,"3,040.26",1,44.97,1.50,"3,050.12","3,055.17","3,014.15","33,444,891","2,470,883,545,872","576,678,102,646,100",코스피 200 정보기술
50,2023/02/01,"2,995.29",1,56.54,1.92,"2,981.42","2,995.29","2,958.93","27,154,883","2,072,327,974,635","564,160,681,207,450",코스피 200 정보기술
51,2023/01/31,"2,938.75",2,-56.60,-1.89,"2,995.54","3,002.74","2,934.74","42,413,168","3,065,898,640,217","554,864,771,462,350",코스피 200 정보기술
52,2023/01/30,"2,995.35",2,-31.87,-1.05,"3,035.74","3,039.08","2,981.47","29,668,699","2,213,912,622,120","571,623,157,648,050",코스피 200 정보기술
53,2023/01/27,"3,027.22",1,30.41,1.01,"3,002.10","3,045.74","2,994.33","28,518,567","2,043,171,046,983","580,961,813,659,800",코스피 200 정보기술
54,2023/01/26,"2,996.81",1,32.22,1.09,"2,974.12","2,996.97","2,943.75","21,112,253","1,643,644,320,575","575,283,525,742,700",코스피 200 정보기술
55,2023/01/25,"2,964.59",1,83.60,2.90,"2,949.89","2,971.20","2,938.64","24,667,109","1,863,517,642,472","569,904,612,270,750",코스피 200 정보기술
56,2023/01/20,"2,880.99",1,21.43,0.75,"2,864.31","2,885.12","2,853.68","15,455,295","1,165,196,455,400","554,287,246,920,950",코스피 200 정보기술
57,2023/01/19,"2,859.56",1,12.38,0.43,"2,826.39","2,863.25","2,825.60","17,691,630","1,276,280,345,036","550,420,723,400,400",코스피 200 정보기술
58,2023/01/18,"2,847.18",2,-10.82,-0.38,"2,855.76","2,865.13","2,822.67","16,711,487","1,166,568,667,416","543,712,976,089,400",코스피 200 정보기술
59,2023/01/17,"2,858.00",2,-13.53,-0.47,"2,872.78","2,881.48","2,847.67","15,664,818","1,147,365,176,211","548,017,561,419,200",코스피 200 정보기술
60,2023/01/16,"2,871.53",1,6.62,0.23,"2,871.96","2,889.06","2,856.04","15,790,394","1,131,429,826,750","549,571,133,974,200",코스피 200 정보기술
61,2023/01/13,"2,864.91",1,9.68,0.34,"2,864.53","2,899.05","2,855.73","21,202,751","1,434,124,726,987","547,659,847,692,650",코스피 200 정보기술
62,2023/01/12,"2,855.23",2,-4.40,-0.15,"2,882.31","2,883.17","2,838.08","25,445,013","1,719,099,328,342","545,600,937,754,950",코스피 200 정보기술
63,2023/01/11,"2,859.63",1,16.49,0.58,"2,866.12","2,880.68","2,836.71","21,763,191","1,508,534,855,404","546,020,480,935,800",코스피 200 정보기술
64,2023/01/10,"2,843.14",1,15.81,0.56,"2,821.59","2,869.86","2,818.77","22,557,874","1,636,619,132,656","543,953,601,913,850",코스피 200 정보기술
65,2023/01/09,"2,827.33",1,78.12,2.84,"2,784.30","2,830.45","2,779.75","28,539,563","2,063,113,075,400","544,261,761,042,200",코스피 200 정보기술
66,2023/01/06,"2,749.21",1,34.13,1.26,"2,701.22","2,766.62","2,698.98","25,451,578","1,730,464,117,450","528,950,998,308,450",코스피 200 정보기술
67,2023/01/05,"2,715.08",2,-2.11,-0.08,"2,738.66","2,749.85","2,699.80","24,849,202","1,783,738,133,020","521,796,212,099,400",코스피 200 정보기술
68,2023/01/04,"2,717.19",1,89.83,3.42,"2,605.94","2,725.57","2,604.39","30,905,825","2,059,490,771,366","519,844,538,548,550",코스피 200 정보기술
69,2023/01/03,"2,627.36",1,9.96,0.38,"2,635.47","2,642.46","2,565.47","20,865,636","1,360,289,873,175","499,539,420,181,500",코스피 200 정보기술
70,2023/01/02,"2,617.40",1,10.43,0.40,"2,625.87","2,647.13","2,611.87","13,774,128","886,464,283,600","499,513,474,303,000",코스피 200 정보기술
71,2022/12/29,"2,606.97",2,-57.16,-2.15,"2,644.33","2,649.38","2,606.97","16,699,464","1,123,842,858,500","497,503,029,905,950",코스피 200 정보기술
72,2022/12/28,"2,664.13",2,-58.16,-2.14,"2,693.60","2,694.57","2,656.39","20,394,024","1,366,965,615,500","508,616,762,627,000",코스피 200 정보기술
73,2022/12/27,"2,722.29",1,10.04,0.37,"2,733.09","2,740.08","2,706.46","16,437,548","1,133,134,550,850","521,162,075,873,350",코스피 200 정보기술
74,2022/12/26,"2,712.25",2,-12.49,-0.46,"2,718.55","2,728.18","2,704.76","11,847,932","815,062,189,750","519,376,690,315,950",코스피 200 정보기술
75,2022/12/23,"2,724.74",2,-45.51,-1.64,"2,723.56","2,736.75","2,709.69","15,314,570","1,081,369,165,355","521,418,874,090,800",코스피 200 정보기술
76,2022/12/22,"2,770.25",1,46.78,1.72,"2,743.19","2,770.25","2,736.58","17,259,932","1,218,051,281,126","530,381,967,382,200",코스피 200 정보기술
77,2022/12/21,"2,723.47",2,-22.46,-0.82,"2,758.66","2,761.26","2,718.44","15,558,456","1,022,542,720,540","521,072,831,980,950",코스피 200 정보기술
78,2022/12/20,"2,745.93",2,-35.82,-1.29,"2,771.07","2,773.07","2,732.75","13,988,631","933,759,587,380","525,911,400,103,750",코스피 200 정보기술
79,2022/12/19,"2,781.75",2,-11.63,-0.42,"2,782.60","2,802.47","2,768.67","12,782,282","927,540,393,550","533,354,607,045,400",코스피 200 정보기술
80,2022/12/16,"2,793.38",2,-19.13,-0.68,"2,764.83","2,793.38","2,754.97","23,036,665","1,613,974,056,930","534,182,875,836,800",코스피 200 정보기술
81,2022/12/15,"2,812.51",2,-51.68,-1.80,"2,831.55","2,848.85","2,812.51","14,946,194","1,061,963,402,647","534,910,821,004,700",코스피 200 정보기술
82,2022/12/14,"2,864.19",1,49.54,1.76,"2,828.69","2,864.85","2,827.56","14,982,186","1,137,351,324,319","545,379,383,442,700",코스피 200 정보기술
83,2022/12/13,"2,814.65",2,-1.55,-0.06,"2,831.41","2,845.75","2,799.04","16,898,893","1,247,028,330,000","537,720,776,142,200",코스피 200 정보기술
84,2022/12/12,"2,816.20",2,-13.41,-0.47,"2,801.37","2,824.29","2,792.87","13,923,347","1,074,747,104,813","536,410,367,928,900",코스피 200 정보기술
85,2022/12/09,"2,829.61",1,3.11,0.11,"2,839.22","2,844.05","2,813.88","19,717,372","1,549,733,968,025","542,174,050,933,200",코스피 200 정보기술
86,2022/12/08,"2,826.50",2,-7.46,-0.26,"2,840.39","2,847.06","2,808.70","24,651,328","1,727,888,061,192","535,255,048,778,900",코스피 200 정보기술
87,2022/12/07,"2,833.96",2,-39.57,-1.38,"2,849.72","2,861.35","2,829.88","21,451,956","1,538,347,445,414","533,934,368,287,500",코스피 200 정보기술
88,2022/12/06,"2,873.53",2,-13.70,-0.47,"2,851.07","2,892.24","2,843.74","23,267,865","1,686,092,417,740","539,014,665,460,050",코스피 200 정보기술
89,2022/12/05,"2,887.23",2,-23.44,-0.81,"2,917.99","2,922.01","2,877.88","27,362,659","2,004,934,628,575","545,935,324,649,000",코스피 200 정보기술
90,2022/12/02,"2,910.67",2,-56.42,-1.90,"2,954.62","2,955.18","2,909.73","24,692,863","1,746,658,438,450","548,046,100,084,200",코스피 200 정보기술
91,2022/12/01,"2,967.09",2,-2.68,-0.09,"3,018.66","3,021.92","2,965.37","26,984,820","1,901,263,660,269","564,584,849,260,000",코스피 200 정보기술
92,2022/11/30,"2,969.77",1,56.77,1.95,"2,898.55","2,969.77","2,887.28","33,059,100","2,428,942,171,046","562,599,869,991,950",코스피 200 정보기술
93,2022/11/29,"2,913.00",1,3.45,0.12,"2,897.18","2,914.25","2,881.33","12,087,284","908,078,376,773","549,845,299,143,050",코스피 200 정보기술
94,2022/11/28,"2,909.55",2,-20.39,-0.70,"2,915.03","2,924.16","2,884.80","16,554,918","1,243,662,610,800","546,618,891,669,150",코스피 200 정보기술
95,2022/11/25,"2,929.94",2,-13.82,-0.47,"2,943.38","2,945.81","2,923.47","11,397,364","893,671,989,292","553,632,856,465,000",코스피 200 정보기술
96,2022/11/24,"2,943.76",1,40.90,1.41,"2,935.95","2,946.46","2,914.33","13,798,169","1,049,333,386,788","557,355,216,759,150",코스피 200 정보기술
97,2022/11/23,"2,902.86",1,31.39,1.09,"2,908.79","2,927.47","2,886.91","15,847,871","1,121,549,722,502","552,020,306,481,550",코스피 200 정보기술
98,2022/11/22,"2,871.47",2,-51.48,-1.76,"2,903.94","2,921.90","2,868.90","16,550,583","1,146,532,199,300","547,943,760,129,050",코스피 200 정보기술
99,2022/11/21,"2,922.95",2,-33.19,-1.12,"2,956.22","2,958.25","2,905.78","16,438,963","1,196,510,428,859","556,136,959,071,950",코스피 200 정보기술
100,2022/11/18,"2,956.14",1,1.61,0.05,"2,968.02","3,007.44","2,952.40","22,152,275","1,555,077,637,470","561,210,865,847,200",코스피 200 정보기술
101,2022/11/17,"2,954.53",2,-83.06,-2.73,"2,995.00","2,998.24","2,954.53","22,142,234","1,691,166,809,550","558,848,299,354,300",코스피 200 정보기술
102,2022/11/16,"3,037.59",1,2.65,0.09,"3,046.28","3,046.28","2,988.02","24,736,112","1,922,323,499,100","572,694,831,952,750",코스피 200 정보기술
103,2022/11/15,"3,034.94",2,-20.69,-0.68,"3,054.93","3,058.15","3,010.11","24,447,762","2,023,155,720,006","570,887,236,499,250",코스피 200 정보기술
104,2022/11/14,"3,055.63",2,-10.09,-0.33,"3,064.59","3,091.84","3,046.40","34,374,907","2,567,799,066,530","568,983,665,214,600",코스피 200 정보기술
105,2022/11/11,"3,065.72",1,131.98,4.50,"3,012.69","3,071.49","3,012.68","40,748,071","2,961,107,360,293","575,842,775,563,700",코스피 200 정보기술
106,2022/11/10,"2,933.74",2,-40.21,-1.35,"2,946.38","2,960.35","2,933.49","32,104,401","2,293,278,271,216","551,674,449,167,650",코스피 200 정보기술
107,2022/11/09,"2,973.95",1,41.46,1.41,"2,945.84","2,975.19","2,929.79","25,796,979","1,905,057,591,578","562,914,109,035,500",코스피 200 정보기술
108,2022/11/08,"2,932.49",1,31.98,1.10,"2,913.13","2,937.91","2,900.86","32,026,568","2,158,682,391,350","558,555,458,756,350",코스피 200 정보기술
109,2022/11/07,"2,900.51",1,42.37,1.48,"2,874.49","2,903.00","2,865.91","21,450,409","1,577,134,358,590","547,231,587,431,450",코스피 200 정보기술
110,2022/11/04,"2,858.14",1,28.36,1.00,"2,815.39","2,866.55","2,790.79","25,062,451","1,824,735,441,834","539,463,047,619,900",코스피 200 정보기술
111,2022/11/03,"2,829.78",2,-7.45,-0.26,"2,787.10","2,850.96","2,777.88","26,560,499","1,864,895,747,328","535,730,094,245,700",코스피 200 정보기술
112,2022/11/02,"2,837.23",2,-31.61,-1.10,"2,845.78","2,860.66","2,820.98","22,816,100","1,741,068,180,334","539,147,035,192,500",코스피 200 정보기술
113,2022/11/01,"2,868.84",1,45.04,1.60,"2,821.18","2,868.84","2,807.72","26,533,861","1,994,793,146,643","542,785,374,442,750",코스피 200 정보기술
114,2022/10/31,"2,823.80",1,46.18,1.66,"2,814.78","2,835.55","2,795.64","31,970,782","2,311,074,081,611","536,268,351,152,400",코스피 200 정보기술
115,2022/10/28,"2,777.62",2,-77.15,-2.70,"2,820.92","2,830.07","2,771.60","35,635,085","2,616,427,368,715","522,135,999,614,300",코스피 200 정보기술
116,2022/10/27,"2,854.77",1,48.32,1.72,"2,826.06","2,865.46","2,810.98","34,703,299","2,696,062,796,292","541,291,744,882,600",코스피 200 정보기술
117,2022/10/26,"2,806.45",1,39.15,1.41,"2,781.18","2,820.47","2,761.14","30,362,783","2,187,213,337,410","539,081,928,560,450",코스피 200 정보기술
118,2022/10/25,"2,767.30",1,11.53,0.42,"2,755.96","2,793.50","2,755.37","27,188,699","1,782,623,516,002","527,485,358,801,200",코스피 200 정보기술
119,2022/10/24,"2,755.77",1,57.98,2.15,"2,747.06","2,761.37","2,728.55","24,302,969","1,736,733,305,900","525,215,435,524,500",코스피 200 정보기술
120,2022/10/21,"2,697.79",1,45.02,1.70,"2,664.49","2,718.14","2,663.52","18,015,957","1,491,929,362,466","512,486,882,818,050",코스피 200 정보기술
121,2022/10/20,"2,652.77",2,-40.67,-1.51,"2,668.86","2,672.25","2,614.76","26,712,148","1,813,715,269,205","507,553,467,994,100",코스피 200 정보기술
122,2022/10/19,"2,693.44",2,-36.78,-1.35,"2,724.53","2,725.57","2,687.36","22,402,189","1,573,804,771,955","512,703,046,442,500",코스피 200 정보기술
123,2022/10/18,"2,730.22",1,10.73,0.39,"2,751.32","2,756.34","2,694.80","23,859,111","1,545,576,871,650","519,887,494,004,550",코스피 200 정보기술
124,2022/10/17,"2,719.49",1,19.81,0.73,"2,671.47","2,722.47","2,657.68","22,841,009","1,412,296,358,450","519,385,010,805,600",코스피 200 정보기술
125,2022/10/14,"2,699.68",1,44.03,1.66,"2,703.10","2,710.58","2,680.81","21,813,003","1,465,935,931,235","516,451,106,996,300",코스피 200 정보기술
126,2022/10/13,"2,655.65",2,-36.49,-1.36,"2,677.69","2,691.10","2,655.54","23,761,178","1,669,149,823,452","507,338,687,029,400",코스피 200 정보기술
127,2022/10/12,"2,692.14",1,46.50,1.76,"2,651.99","2,693.10","2,644.16","29,350,647","1,980,790,047,700","512,799,163,865,850",코스피 200 정보기술
128,2022/10/11,"2,645.64",2,-27.55,-1.03,"2,613.57","2,646.50","2,592.05","33,383,176","2,065,401,716,158","506,234,242,077,750",코스피 200 정보기술
129,2022/10/07,"2,673.19",1,5.66,0.21,"2,638.92","2,686.25","2,621.29","31,066,046","1,810,637,358,915","512,924,337,646,900",코스피 200 정보기술
130,2022/10/06,"2,667.53",1,38.50,1.46,"2,651.07","2,690.40","2,640.07","23,440,631","1,562,592,071,187","512,861,964,132,600",코스피 200 정보기술
131,2022/10/05,"2,629.03",1,38.97,1.50,"2,667.06","2,669.46","2,607.76","36,601,627","2,327,427,923,711","508,684,566,533,950",코스피 200 정보기술
132,2022/10/04,"2,590.06",1,78.83,3.14,"2,560.46","2,597.29","2,554.68","29,322,126","1,967,633,049,536","500,788,123,503,950",코스피 200 정보기술
133,2022/09/30,"2,511.23",2,-5.12,-0.20,"2,510.81","2,535.82","2,472.84","34,393,148","2,206,488,767,070","483,198,706,491,550",코스피 200 정보기술
134,2022/09/29,"2,516.35",2,-11.50,-0.45,"2,569.99","2,583.19","2,510.19","22,432,623","1,459,323,257,900","480,053,554,229,600",코스피 200 정보기술
135,2022/09/28,"2,527.85",2,-78.76,-3.02,"2,587.84","2,605.85","2,509.87","32,323,549","2,207,424,916,794","482,577,220,503,550",코스피 200 정보기술
136,2022/09/27,"2,606.61",2,-16.83,-0.64,"2,626.62","2,628.48","2,566.89","28,299,898","1,897,657,744,009","495,147,672,362,150",코스피 200 정보기술
137,2022/09/26,"2,623.44",2,-58.58,-2.18,"2,644.82","2,661.01","2,618.56","25,373,327","1,693,282,795,400","494,751,457,389,900",코스피 200 정보기술
138,2022/09/23,"2,682.02",2,-57.45,-2.10,"2,734.53","2,751.49","2,670.24","20,139,170","1,370,706,265,700","502,439,146,620,900",코스피 200 정보기술
139,2022/09/22,"2,739.47",2,-22.84,-0.83,"2,718.86","2,744.93","2,714.42","20,249,688","1,415,452,577,900","506,755,744,242,150",코스피 200 정보기술
140,2022/09/21,"2,762.31",2,-33.20,-1.19,"2,775.31","2,779.64","2,743.34","18,826,532","1,285,487,663,550","513,900,855,605,400",코스피 200 정보기술
141,2022/09/20,"2,795.51",1,11.69,0.42,"2,804.34","2,816.20","2,774.21","22,902,328","1,766,251,754,165","518,716,627,543,600",코스피 200 정보기술
142,2022/09/19,"2,783.82",2,-12.08,-0.43,"2,800.61","2,820.05","2,776.80","18,181,064","1,237,969,661,500","521,965,058,334,900",코스피 200 정보기술
143,2022/09/16,"2,795.90",2,-28.94,-1.02,"2,798.17","2,803.33","2,773.36","21,434,992","1,560,313,306,676","522,320,683,159,050",코스피 200 정보기술
144,2022/09/15,"2,824.84",2,-29.21,-1.02,"2,859.92","2,870.15","2,821.49","18,167,901","1,372,541,487,462","523,347,011,630,900",코스피 200 정보기술
145,2022/09/14,"2,854.05",2,-41.71,-1.44,"2,806.12","2,868.18","2,798.78","20,117,360","1,604,231,446,000","529,956,382,325,750",코스피 200 정보기술
146,2022/09/13,"2,895.76",1,132.09,4.78,"2,800.49","2,902.57","2,800.49","26,602,024","2,063,607,511,605","540,600,449,446,600",코스피 200 정보기술
147,2022/09/08,"2,763.67",1,25.62,0.94,"2,763.57","2,783.24","2,752.28","27,382,648","1,769,198,701,650","516,821,476,412,500",코스피 200 정보기술
148,2022/09/07,"2,738.05",2,-45.48,-1.63,"2,762.80","2,769.12","2,723.87","23,991,977","1,575,880,041,750","517,244,865,558,650",코스피 200 정보기술
149,2022/09/06,"2,783.53",1,2.68,0.10,"2,787.18","2,807.95","2,768.34","13,356,415","903,437,364,888","526,728,728,726,300",코스피 200 정보기술
150,2022/09/05,"2,780.85",2,-21.21,-0.76,"2,802.28","2,814.63","2,766.58","17,283,789","1,159,046,853,984","526,242,977,182,450",코스피 200 정보기술
151,2022/09/02,"2,802.06",2,-13.32,-0.47,"2,829.57","2,846.78","2,798.54","21,471,846","1,479,523,855,351","530,002,014,003,950",코스피 200 정보기술
152,2022/09/01,"2,815.38",2,-87.29,-3.01,"2,855.36","2,855.36","2,814.97","22,767,623","1,581,721,132,549","535,999,673,365,900",코스피 200 정보기술
153,2022/08/31,"2,902.67",1,63.49,2.24,"2,814.41","2,903.20","2,806.40","21,858,369","1,646,418,875,960","549,836,311,803,700",코스피 200 정보기술
154,2022/08/30,"2,839.18",1,28.38,1.01,"2,819.76","2,844.39","2,800.41","15,932,330","1,112,078,311,000","540,222,521,267,550",코스피 200 정보기술
155,2022/08/29,"2,810.80",2,-82.21,-2.84,"2,820.34","2,820.34","2,798.25","17,773,829","1,291,633,387,550","536,828,750,430,300",코스피 200 정보기술
156,2022/08/26,"2,893.01",1,10.08,0.35,"2,898.59","2,922.65","2,886.51","16,368,112","1,238,963,677,050","550,919,021,153,600",코스피 200 정보기술
157,2022/08/25,"2,882.93",1,27.62,0.97,"2,874.56","2,883.34","2,842.81","12,744,189","1,102,484,011,650","548,418,497,124,900",코스피 200 정보기술
158,2022/08/24,"2,855.31",1,3.39,0.12,"2,869.24","2,880.19","2,849.84","13,745,757","993,837,855,375","542,306,784,853,600",코스피 200 정보기술
159,2022/08/23,"2,851.92",2,-47.84,-1.65,"2,875.05","2,891.71","2,845.51","15,629,023","1,161,379,526,727","542,777,794,984,000",코스피 200 정보기술
160,2022/08/22,"2,899.76",2,-65.78,-2.22,"2,922.30","2,927.60","2,893.48","16,091,009","1,122,263,160,639","551,322,418,122,400",코스피 200 정보기술
161,2022/08/19,"2,965.54",2,-13.22,-0.44,"2,987.19","2,997.15","2,957.46","15,269,145","1,055,114,637,303","561,147,298,456,750",코스피 200 정보기술
162,2022/08/18,"2,978.76",2,-17.40,-0.58,"2,967.27","2,989.70","2,946.16","23,099,603","1,644,904,781,800","564,901,684,192,300",코스피 200 정보기술
163,2022/08/17,"2,996.16",2,-5.69,-0.19,"3,001.28","3,015.20","2,983.15","15,526,187","1,186,277,770,050","560,921,779,205,250",코스피 200 정보기술
164,2022/08/16,"3,001.85",1,43.63,1.47,"2,987.81","3,017.49","2,970.66","24,321,195","1,793,891,223,583","564,337,176,455,700",코스피 200 정보기술
165,2022/08/12,"2,958.22",1,11.75,0.40,"2,934.60","2,965.47","2,931.68","19,283,265","1,422,875,619,850","556,051,964,362,750",코스피 200 정보기술
166,2022/08/11,"2,946.47",1,74.81,2.61,"2,910.74","2,946.47","2,905.52","29,742,675","2,185,130,088,750","553,723,395,818,550",코스피 200 정보기술
